City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Vila Franca Do Campo,PT,2020-12-30 23:05:39,37.72,-25.43,55.4,76,20,8.05
124,Saldanha,ZA,2020-12-30 23:05:39,-33.01,17.94,60.8,77,0,2.24
125,Port Hedland,AU,2020-12-30 23:05:39,-20.32,118.57,87.8,79,41,8.05
126,Alofi,NU,2020-12-30 23:05:39,-19.06,-169.92,78.8,94,75,1.12
127,Singaraja,ID,2020-12-30 23:05:39,-8.11,115.09,79.14,68,95,2.98
128,Kodiak,US,2020-12-30 23:05:40,57.79,-152.41,39.2,69,75,4.7
129,Lafayette,US,2020-12-30 23:05:40,30.23,-92.07,72.0,73,75,9.17
130,Marsa Matruh,EG,2020-12-30 23:05:40,31.35,27.25,53.6,87,0,3.83
131,Constitucion,CL,2020-12-30 23:05:40,-35.33,-72.42,64.54,51,0,18.05
132,Georgetown,MY,2020-12-30 23:05:41,5.41,100.34,77.0,94,20,5.68
133,Luderitz,NA,2020-12-30 23:05:41,-26.65,15.16,68.0,68,1,18.34
134,Saint-Philippe,RE,2020-12-30 23:05:41,-21.36,55.77,77.0,78,20,21.92
135,Ornskoldsvik,SE,2020-12-30 23:05:41,63.29,18.72,28.4,100,90,5.82
136,Bathsheba,BB,2020-12-30 23:05:42,13.22,-59.52,77.0,83,20,6.93
137,Perth,AU,2020-12-30 23:05:29,-31.93,115.83,73.99,78,75,11.41
138,Emerald,AU,2020-12-30 23:05:43,-23.53,148.17,75.2,78,90,12.75
139,Saint George,US,2020-12-30 23:05:43,37.1,-113.58,46.99,22,1,4.7
140,Papara,BR,2020-12-30 23:05:43,-3.98,-38.73,81.0,78,0,6.93
141,Nikolskoye,RU,2020-12-30 23:05:43,59.7,30.79,34.0,92,75,11.18
142,Tasiilaq,GL,2020-12-30 23:05:44,65.61,-37.64,14.0,72,42,3.36
143,Sandwick,GB,2020-12-30 23:05:44,60.0,-1.25,41.0,86,100,12.75
144,Carballo,ES,2020-12-30 23:05:44,43.21,-8.69,46.99,95,67,3.0
145,Sao Joao Da Barra,BR,2020-12-30 23:05:45,-21.64,-41.05,76.15,80,88,20.87
146,Mar Del Plata,AR,2020-12-30 23:05:14,-38.0,-57.56,64.4,59,75,16.11
147,Bethel,US,2020-12-30 23:05:46,41.37,-73.41,34.0,47,1,4.7
148,Fairbanks,US,2020-12-30 23:05:15,64.84,-147.72,10.0,84,40,2.86
149,Iqaluit,CA,2020-12-30 23:05:46,63.75,-68.51,5.0,65,75,5.82
150,Pudozh,RU,2020-12-30 23:05:46,61.81,36.53,30.11,98,100,7.47
151,Gizo,SB,2020-12-30 23:05:47,-8.1,156.84,82.85,66,97,10.2
152,Taoudenni,ML,2020-12-30 23:05:47,22.68,-3.98,71.6,24,0,6.44
153,Yarmouth,US,2020-12-30 23:04:08,41.71,-70.23,42.01,69,75,14.99
154,Vila,PT,2020-12-30 23:04:13,42.03,-8.16,42.01,95,98,5.01
155,Kirakira,SB,2020-12-30 23:05:48,-10.45,161.92,85.15,71,72,9.64
156,Bardiyah,LY,2020-12-30 23:05:48,31.76,25.09,57.6,66,0,6.46
157,Shingu,JP,2020-12-30 23:05:48,33.73,135.98,32.34,90,3,6.15
158,Nome,US,2020-12-30 23:04:03,64.5,-165.41,23.0,67,1,10.29
159,Brainerd,US,2020-12-30 23:03:17,46.36,-94.2,19.4,73,20,6.93
160,Saurimo,AO,2020-12-30 23:05:49,-9.66,20.39,64.47,96,78,4.54
161,Bilma,NE,2020-12-30 23:05:49,18.69,12.92,63.95,24,0,7.05
162,Aklavik,CA,2020-12-30 23:05:49,68.22,-135.01,-14.8,75,90,0.76
163,Aquiraz,BR,2020-12-30 23:05:50,-3.9,-38.39,80.6,78,0,6.93
164,Naze,JP,2020-12-30 23:05:50,28.37,129.48,51.8,81,75,18.34
165,Santa Maria,BR,2020-12-30 23:05:50,-29.68,-53.81,89.6,46,40,3.36
166,Camacha,PT,2020-12-30 23:05:50,33.08,-16.33,59.0,77,40,12.75
167,Omboue,GA,2020-12-30 23:05:51,-1.57,9.26,77.5,92,99,6.46
168,Pangnirtung,CA,2020-12-30 23:05:51,66.15,-65.71,12.2,66,75,10.29
169,Joao Camara,BR,2020-12-30 23:05:51,-5.54,-35.82,78.8,83,40,10.29
170,Gayeri,BF,2020-12-30 23:05:51,12.65,0.49,72.84,19,0,8.97
171,Bambous Virieux,MU,2020-12-30 23:05:52,-20.34,57.76,77.0,88,75,12.75
172,Mawlaik,MM,2020-12-30 23:05:52,23.63,94.42,55.96,86,22,0.78
173,Lichinga,MZ,2020-12-30 23:05:52,-13.31,35.24,66.2,88,75,4.7
174,Poum,NC,2020-12-30 23:05:52,-20.23,164.02,81.3,83,100,14.65
175,Souillac,MU,2020-12-30 23:01:05,-20.52,57.52,77.0,88,75,12.75
176,Russellville,US,2020-12-30 23:05:53,35.28,-93.13,46.4,87,90,6.93
177,Grand Gaube,MU,2020-12-30 23:05:53,-20.01,57.66,75.99,87,26,5.99
178,Sao Filipe,CV,2020-12-30 23:05:53,14.9,-24.5,74.71,77,27,6.6
179,Novonikolayevskaya,RU,2020-12-30 23:05:53,45.59,38.37,38.88,75,95,6.49
180,Lake Saint Louis,US,2020-12-30 23:03:50,38.8,-90.79,35.6,80,90,5.82
181,Yar-Sale,RU,2020-12-30 23:05:54,66.83,70.83,-16.38,89,95,5.28
182,Ponta Delgada,PT,2020-12-30 23:05:54,37.73,-25.67,55.4,76,20,8.05
183,Betioky,MG,2020-12-30 23:05:55,-23.72,44.38,76.26,60,19,7.14
184,Mokolo,CM,2020-12-30 23:05:55,10.74,13.8,68.13,27,33,5.1
185,Hokitika,NZ,2020-12-30 23:05:55,-42.72,170.97,64.17,66,81,5.77
186,Hervey Bay,AU,2020-12-30 23:05:55,-25.3,152.85,77.0,80,95,5.01
187,Lumut,MY,2020-12-30 23:05:56,4.23,100.63,75.2,94,40,6.51
188,Black River,JM,2020-12-30 23:05:56,18.03,-77.85,80.6,69,20,21.92
189,Doxey,MX,2020-12-30 23:05:57,20.08,-99.23,69.44,26,0,16.98
190,Matara,LK,2020-12-30 23:05:57,5.95,80.54,75.69,86,32,9.95
191,Kaitangata,NZ,2020-12-30 23:05:57,-46.28,169.85,63.0,77,93,8.01
192,Necochea,AR,2020-12-30 23:02:50,-38.55,-58.74,60.01,65,51,27.83
193,Mount Gambier,AU,2020-12-30 23:05:58,-37.83,140.77,62.6,63,75,17.22
194,La Asuncion,VE,2020-12-30 23:05:58,11.03,-63.86,76.53,85,32,8.05
195,Awjilah,LY,2020-12-30 23:05:58,29.11,21.29,53.92,46,15,6.85
196,Olafsvik,IS,2020-12-30 23:05:58,64.89,-23.71,32.32,91,6,8.41
197,Codrington,AU,2020-12-30 23:05:58,-38.27,141.97,60.51,70,59,16.58
198,Narsaq,GL,2020-12-30 23:05:59,60.92,-46.05,30.2,58,90,5.82
199,Namibe,AO,2020-12-30 23:05:59,-15.2,12.15,70.16,75,92,5.26
200,Santa Vitoria Do Palmar,BR,2020-12-30 23:05:59,-33.52,-53.37,69.55,92,95,8.03
201,Sabang,ID,2020-12-30 23:06:00,5.89,95.32,81.61,76,85,17.07
202,Itarema,BR,2020-12-30 23:06:00,-2.92,-39.92,80.55,78,40,14.18
203,Kahului,US,2020-12-30 23:06:00,20.89,-156.47,84.2,45,20,23.04
204,Gasa,PS,2020-12-30 23:06:01,31.5,34.47,60.01,58,0,3.96
205,Egvekinot,RU,2020-12-30 23:06:01,66.32,-179.17,-1.03,93,100,13.87
